Date,Link,Message
2026-05-23 05:12:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7459611396499181568,I don’t buy books published after 2023)
2026-05-23 05:11:29,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7463197840031457280,Thank you for sharing karuna!
2026-05-16 10:24:10,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7461213159836778497,"Sudip, that’s son of a gun will be afraid of writing back from now on"
2026-05-16 05:43:09,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7461225090765135872,"Very inspiring post, Jamie, thank you for sharing"
2026-05-15 19:37:41,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7460952712973594624,Oleksandr Shelegeda ☝️
2026-05-14 07:19:16,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7460573376521154560,Preach brother!
2026-05-12 16:23:15,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7459919765768192001,"As a runner, I cannot agree more - never trust a runner!"
2026-05-12 07:27:52,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7459823202358444032,This is going to be huge! Looking forward to posts from the event!
2026-05-09 10:30:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7453044660408573952,"Emma, a while back my ex manager told me that project management is going to disappear as a concept (it is still there though and flourishing). Do you think there will be a massive shift in the change management space as a result of tech shifts we observe now?"
2026-05-08 11:56:22,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458377310430478336,Preach brother!
2026-05-07 19:05:22,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458225155169800192,Wise words
2026-05-06 08:30:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457697305593450496,I checked it last week and there are still some users raising questions (technical meaningful questions). I guess the sheer volume is just not the same. Plus all the developers having a grudge on the portal sharing content for training models
2026-05-05 04:28:07,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7455632124809834496,Preach brother!
