Saved Date,Job Url,Job Title,Company Name
"5/17/26, 3:58 AM",http://www.linkedin.com/jobs/view/4412120913,Principal – Third Party Cyber Risk Assessment,Johnson & Johnson
"5/16/26, 7:11 AM",http://www.linkedin.com/jobs/view/4415858122,Finance Process & Data Architecture Lead,ABB
"5/15/26, 12:48 PM",http://www.linkedin.com/jobs/view/4377248270,Technical Product Manager,SoftServe
"5/17/26, 4:30 AM",http://www.linkedin.com/jobs/view/4380979031,Ekspert ds. Digitalizacji/ Ekspertka ds. Digitalizacji,Nestlé
"5/13/26, 7:18 AM",http://www.linkedin.com/jobs/view/4358125346,BDS Finance Senior Solutions Architect,Mars
"5/17/26, 4:40 AM",http://www.linkedin.com/jobs/view/4403102504,IT&D Director Manufacturing,Reckitt
"5/17/26, 4:57 AM",http://www.linkedin.com/jobs/view/4404680405,Innovation & Execution Excellence Specialist,Colgate-Palmolive
"5/17/26, 4:17 AM",http://www.linkedin.com/jobs/view/4386509468,Senior Product Manager - Invoice to Pay,Bayer
"5/17/26, 4:59 AM",http://www.linkedin.com/jobs/view/4409954063,L’Oréal SeedZ Program | Kickstart your Advocacy & E-commerce career 🚀,L'Oréal
"5/17/26, 4:35 AM",http://www.linkedin.com/jobs/view/4411234031,IT&Data Product Analyst - Cyber Control,Danone
"3/26/26, 4:29 AM",http://www.linkedin.com/jobs/view/4389206140,Senior Product Manager - LIMS,Bayer
"5/16/26, 6:33 AM",http://www.linkedin.com/jobs/view/4414973993,"Director, POM Technical Product Management",BNY
"5/17/26, 5:06 AM",http://www.linkedin.com/jobs/view/4411814184,Cluster HTA Hub Senior Manager,Pfizer
"5/17/26, 4:26 AM",http://www.linkedin.com/jobs/view/4413827563,Financial Accounting and Reporting Coordinator,Unilever
"5/16/26, 7:00 AM",http://www.linkedin.com/jobs/view/4396590935,Principal Product Manager,Bayer
"5/17/26, 4:56 AM",http://www.linkedin.com/jobs/view/4411190373,"Product Manager, Customer Strategy",Novo Nordisk
"4/29/26, 6:47 AM",http://www.linkedin.com/jobs/view/4383772150,Team Lead Engineering Commercial Pharma International 360 Insights,Roche
"5/16/26, 7:04 AM",http://www.linkedin.com/jobs/view/4398027072,Senior Global Strategic Partnerships Manager & Product Management,GE HealthCare
"5/15/26, 12:41 PM",http://www.linkedin.com/jobs/view/4393588864,Team Lead ERP Custom Code Lifecycle Management,Roche
"5/17/26, 3:47 AM",http://www.linkedin.com/jobs/view/4397044615,Senior Technical Product Manager (Pampers Club App),Procter & Gamble
"5/16/26, 6:42 AM",http://www.linkedin.com/jobs/view/4410469094,Global Product Owner Pricing,The HEINEKEN Company
"5/13/26, 7:24 AM",http://www.linkedin.com/jobs/view/4401477025,Director Digital Finance (CO) & Pricing,Barry Callebaut Group
"5/17/26, 5:14 AM",http://www.linkedin.com/jobs/view/4403973032,Senior Clinical Finance Business Partner (19-month secondment/FTC),AstraZeneca
