Challenge Date,IP Address,User Agent,Country,Challenge Type
Wed Apr 24 10:13:08 UTC 2024,2a02:26f7:c949:f911:0:7e19:8a2:d637,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15",Unknown,EMAIL_PIN_CHALLENGE
Wed Apr 24 10:13:08 UTC 2024,2a02:26f7:c949:f911:0:7e19:8a2:d637,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15",Unknown,EMAIL_PIN_CHALLENGE
Wed Apr 24 10:13:29 UTC 2024,2a02:26f7:c949:f911:0:7e19:8a2:d637,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15",Unknown,EMAIL_PIN_CHALLENGE
Thu May 23 08:31:38 UTC 2024,213.17.128.154,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Safari/605.1.15",Poland,EMAIL_PIN_CHALLENGE
Thu May 23 08:31:38 UTC 2024,213.17.128.154,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Safari/605.1.15",Poland,EMAIL_PIN_CHALLENGE
Thu May 23 08:31:56 UTC 2024,213.17.128.154,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Safari/605.1.15",Poland,EMAIL_PIN_CHALLENGE
Mon Jun 09 07:27:18 UTC 2025,156.249.60.100,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Mon Jun 09 07:27:18 UTC 2025,156.249.60.100,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Mon Jun 09 07:27:22 UTC 2025,156.228.89.44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Mon Jun 09 07:27:22 UTC 2025,156.228.89.44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Thu Jun 26 06:16:31 UTC 2025,156.233.94.113,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Thu Jun 26 06:16:31 UTC 2025,156.233.94.113,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Mon Jul 21 04:46:21 UTC 2025,156.233.87.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Mon Jul 21 04:46:21 UTC 2025,156.233.87.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Mon Jul 21 04:46:30 UTC 2025,156.233.87.44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Mon Jul 21 04:46:30 UTC 2025,156.233.87.44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Tue Aug 05 12:35:52 UTC 2025,2a09:bac3:4fbb:2a0:0:0:43:69,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",Unknown,EMAIL_PIN_CHALLENGE
Tue Aug 05 12:35:52 UTC 2025,2a09:bac3:4fbb:2a0:0:0:43:69,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",Unknown,EMAIL_PIN_CHALLENGE
Tue Aug 05 12:36:14 UTC 2025,2a09:bac3:4fbd:2a0:0:0:43:5c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",Unknown,EMAIL_PIN_CHALLENGE
